t1,d1,s1,s2,s3,s4,s5,s6,s7,b1,b2,n1,n2,n3
169,2016/7/15,01,05,10,20,21,28,30,25,26,0,該当なし,5億円
168,2016/7/8,03,09,12,14,19,20,36,02,05,0,該当なし,2億円
167,2016/7/1,01,03,05,07,10,26,36,19,37,2,5億9696万円,0円
166,2016/6/24,14,20,27,29,30,31,37,23,34,0,該当なし,8億円
165,2016/6/17,09,11,14,15,16,18,27,06,20,0,該当なし,5億円
164,2016/6/10,03,13,20,23,31,35,36,02,11,0,該当なし,2億円
163,2016/6/3,01,02,06,16,28,30,31,03,07,1,2億3779万円,0円
162,2016/5/27,02,07,08,12,14,23,27,06,10,1,5億55万円,0円
161,2016/5/20,08,14,17,18,20,22,34,04,30,0,該当なし,2億円
160,2016/5/13,01,02,08,24,32,36,37,23,33,2,2億5579万円,0円
159,2016/5/6,10,14,17,21,23,27,31,16,24,0,該当なし,2億円
158,2016/4/29,03,06,07,30,32,36,37,05,20,1,5億3528万円,0円
157,2016/4/22,05,09,16,26,28,29,32,01,37,0,該当なし,2億円
156,2016/4/15,04,09,16,19,22,33,34,17,36,1,2億5966万円,0円
155,2016/4/8,02,09,13,18,22,24,26,10,37,1,2億5199万円,0円
154,2016/4/1,02,04,19,21,24,28,35,03,13,1,2億5729万円,0円
153,2016/3/25,07,09,10,16,20,28,37,02,33,1,3億6245万円,0円
152,2016/3/18,08,12,17,21,23,24,31,06,07,1,8億円！,1億円
151,2016/3/11,09,10,13,15,21,22,24,04,08,0,該当なし,6億円
150,2016/3/4,06,07,14,20,27,31,34,11,24,1,8億円！,3億円
149,2016/2/26,01,04,15,19,22,23,31,12,32,1,8億円！,7億円
148,2016/2/19,01,09,11,16,20,30,34,12,33,0,該当なし,12億円
147,2016/2/12,01,05,07,12,15,24,25,08,14,1,8億円！,8億円
146,2016/2/5,04,10,25,27,28,33,34,15,35,1,8億円！,20億円
145,2016/1/29,10,12,18,28,29,30,35,04,19,0,該当なし,24億円
144,2016/1/22,02,09,13,18,22,32,36,17,26,1,8億円！,20億円
143,2016/1/15,01,03,08,14,28,29,33,04,31,0,該当なし,24億円
142,2016/1/8,06,12,14,18,21,27,28,01,33,0,該当なし,21億円
141,2015/12/25,02,10,18,30,31,32,36,21,29,1,8億円！,17億円
140,2015/12/18,03,11,12,13,17,26,35,01,33,0,該当なし,21億円
139,2015/12/11,09,16,18,21,23,34,35,04,36,0,該当なし,17億円
138,2015/12/4,02,05,17,20,21,32,33,30,35,1,8億円！,13億円
137,2015/11/27,13,19,21,25,27,32,35,16,20,1,8億円！,18億円
136,2015/11/20,10,17,24,27,30,33,37,18,31,0,該当なし,22億円
135,2015/11/13,08,09,13,14,24,32,34,03,04,0,該当なし,18億円
134,2015/11/6,04,09,20,28,30,34,35,12,29,0,該当なし,15億円
133,2015/10/30,03,07,13,15,17,21,30,14,27,0,該当なし,11億円
132,2015/10/23,07,10,14,16,20,30,31,35,37,0,該当なし,8億円
131,2015/10/16,03,04,12,17,32,34,36,23,31,0,該当なし,5億円
130,2015/10/9,01,15,20,23,25,31,32,05,24,0,該当なし,2億円
129,2015/10/2,05,07,11,19,24,27,30,29,35,1,2億2958万円,0円
128,2015/9/25,02,04,08,23,26,27,32,03,35,1,2億3355万円,0円
127,2015/9/18,10,12,15,23,28,30,35,06,25,2,1億2552万円,0円
126,2015/9/11,04,10,13,16,17,21,27,01,18,2,2億6526万円,0円
125,2015/9/4,01,06,11,14,19,28,35,18,21,0,該当なし,2億円
124,2015/8/28,01,02,15,17,18,22,36,06,27,1,7億8570万円,0円
123,2015/8/21,01,03,05,08,29,34,36,23,28,1,8億円！,5億円
122,2015/8/14,02,16,18,26,27,34,35,05,12,0,該当なし,9億円
121,2015/8/7,02,04,13,16,21,30,37,19,29,1,8億円！,6億円
120,2015/7/31,02,16,18,26,32,35,37,09,36,0,該当なし,11億円
119,2015/7/24,03,06,08,14,15,25,36,24,35,1,8億円！,7億円
118,2015/7/17,05,08,09,24,27,28,30,16,20,0,該当なし,12億円
117,2015/7/10,09,10,20,28,31,34,37,23,26,0,該当なし,9億円
116,2015/7/3,09,14,23,27,28,31,32,03,20,1,8億円！,5億円
115,2015/6/26,06,08,13,14,20,25,27,24,26,1,8億円！,10億円
114,2015/6/19,08,13,26,27,28,29,37,04,12,1,8億円！,14億円
113,2015/6/12,04,06,07,09,15,17,37,14,20,0,該当なし,18億円
112,2015/6/5,06,07,10,15,27,35,36,13,20,0,該当なし,15億円
111,2015/5/29,07,08,09,24,28,30,33,01,34,1,8億円！,11億円
110,2015/5/22,04,12,22,30,31,35,36,19,37,0,該当なし,15億円
109,2015/5/15,06,17,20,21,24,30,32,07,23,0,該当なし,12億円
108,2015/5/8,02,06,07,08,28,30,36,18,21,0,該当なし,8億円
107,2015/5/1,03,08,09,13,17,27,33,29,31,0,該当なし,5億円
106,2015/4/24,06,10,12,19,21,22,30,01,11,0,該当なし,2億円
105,2015/4/17,03,15,19,20,26,28,33,17,21,1,2億4838万円,0円
104,2015/4/10,07,09,11,15,16,22,37,12,13,1,5億2395万円,0円
103,2015/4/3,02,03,11,12,22,35,36,30,34,0,該当なし,2億円
102,2015/3/27,01,04,08,27,28,29,31,13,25,3,2億9533万円,0円
101,2015/3/20,11,12,21,23,28,36,37,03,16,0,該当なし,5億円
100,2015/3/13,01,02,11,16,25,35,36,09,14,0,該当なし,2億円
99,2015/3/6,13,17,22,24,27,28,35,11,19,1,6億9906万円,0円
98,2015/2/27,03,09,11,13,19,25,33,10,30,0,該当なし,3億円
97,2015/2/20,07,13,14,16,22,24,35,01,29,1,8億円！,1億円
96,2015/2/13,09,11,14,21,22,23,24,10,36,0,該当なし,5億円
95,2015/2/6,01,08,13,14,18,30,34,26,36,0,該当なし,2億円
94,2015/1/30,13,19,20,27,28,29,30,26,36,2,7億579万円,0円
93,2015/1/23,02,05,11,14,17,30,32,31,37,2,8億円！,10億円
92,2015/1/16,04,05,15,25,26,29,32,11,27,1,8億円！,22億円
91,2015/1/9,01,05,07,14,15,25,35,18,24,0,該当なし,26億円
90,2014/12/26,02,08,09,13,14,18,37,11,25,1,8億円！,22億円
89,2014/12/19,01,03,11,26,28,34,36,17,20,0,該当なし,26億円
88,2014/12/12,03,04,10,14,25,29,30,18,19,0,該当なし,21億円
87,2014/12/5,08,09,12,18,20,28,31,13,15,0,該当なし,18億円
86,2014/11/28,03,10,20,21,22,26,30,24,35,1,8億円！,14億円
85,2014/11/21,06,07,10,11,22,26,35,14,23,1,8億円！,18億円
84,2014/11/14,08,16,23,28,29,35,36,12,37,0,該当なし,21億円
83,2014/11/7,01,11,21,26,28,32,35,18,22,0,該当なし,16億円
82,2014/10/31,01,03,16,20,25,27,34,18,37,0,該当なし,12億円
81,2014/10/24,01,03,10,18,28,31,35,09,21,0,該当なし,8億円
80,2014/10/17,02,05,10,18,21,24,27,25,34,0,該当なし,5億円
79,2014/10/10,02,04,07,09,21,29,37,06,36,0,該当なし,2億円
78,2014/10/3,05,06,10,14,24,28,36,07,20,2,2億4502万円,0円
77,2014/9/26,03,10,23,25,26,28,30,15,29,0,該当なし,2億円
76,2014/9/19,04,13,18,29,32,34,36,24,33,1,2億4111万円,0円
75,2014/9/12,04,09,15,17,19,35,37,10,20,2,4億3446万円,0円
74,2014/9/5,05,13,14,15,16,24,31,09,11,0,該当なし,5億円
73,2014/8/29,12,16,23,25,27,30,32,28,33,0,該当なし,2億円
72,2014/8/22,11,12,18,19,20,31,32,09,21,5,1億390万円,0円
71,2014/8/15,01,06,13,29,34,35,37,02,15,0,該当なし,2億円
70,2014/8/8,09,10,18,21,27,33,35,04,11,3,2億2212万円,0円
