select z1-z1%10000,z1-z1%10000+10000,count(z1-z1%10000) from loto7 group by (z1-z1%10000);
+-------------+-------------------+--------------------+
| z1-z1%10000 | z1-z1%10000+10000 | count(z1-z1%10000) |
| 7200000      | 7300000             | 5                   |
| 7300000      | 7400000             | 5                   |
| 7400000      | 7500000             | 4                   |
| 7500000      | 7600000             | 4                   |
| 7600000      | 7700000             | 7                   |
| 7700000      | 7800000             | 3                   |
| 7800000      | 7900000             | 5                   |
| 7900000      | 8000000             | 6                   |
| 8000000      | 8100000             | 2                   |
| 8100000      | 8200000             | 6                   |
| 8200000      | 8300000             | 2                   |
| 8300000      | 8400000             | 4                   |
| 8400000      | 8500000             | 4                   |
| 8500000      | 8600000             | 6                   |
| 8600000      | 8700000             | 7                   |
| 8700000      | 8800000             | 4                   |
| 8800000      | 8900000             | 8                   |
| 8900000      | 9000000             | 2                   |
| 9000000      | 9100000             | 9                   |
| 9100000      | 9200000             | 2                   |
| 9200000      | 9300000             | 6                   |
| 9300000      | 9400000             | 3                   |
| 9400000      | 9500000             | 8                   |
| 9500000      | 9600000             | 7                   |
| 9600000      | 9700000             | 5                   |
| 9700000      | 9800000             | 4                   |
| 9800000      | 9900000             | 7                   |
| 9900000      | 10000000            | 4                   |
| 10000000     | 10100000            | 5                   |
| 10100000     | 10200000            | 4                   |
| 10200000     | 10300000            | 5                   |
+--------------+---------------------+---------------------+


 select z1-z1%1000000,z1-z1%1000000+1000000,count(z1-z1%1000000) from loto7 group by (z1-z1%1000000);
+---------------+-----------------------+----------------------+
| z1-z1%1000000 | z1-z1%1000000+1000000 | count(z1-z1%1000000) |
+---------------+-----------------------+----------------------+
| 0             | 1000000               | 49                   |
| 1000000       | 2000000               | 34                   |
| 2000000       | 3000000               | 38                   |
| 3000000       | 4000000               | 33                   |
| 4000000       | 5000000               | 43                   |
| 5000000       | 6000000               | 57                   |
| 6000000       | 7000000               | 41                   |
| 7000000       | 8000000               | 45                   |
| 8000000       | 9000000               | 45                   |
| 9000000       | 10000000              | 55                   |
| 10000000      | 11000000              | 14                   |
+---------------+-----------------------+----------------------+
